Дата прохождения,Респондент,"Я знаю, чего от меня ожидает компания",Мой руководитель ставит четкие цели для нашей команды,"Я вижу прямую связь между тем, что я делаю и успехами компании","В компании есть тот, кто помогает мне развиваться профессионально","Мой руководитель дает мне обратную связь, которая помогает улучшить мою работу","Я знаю, как пройти обучение и с кем в компании можно его обсудить",В компании есть возможности для моего роста и развития,Компания предоставляет мне все необходимые ресурсы для работы,Меня устраивает мой компьютер и остальная рабочая техника,"Если в работе что-то идет не по плану, я всегда знаю, кого попросить о помощи",Мой руководитель регулярно делится со мной актуальной информацией о целях компании,"Я понимаю, куда движется компания и как она планирует развиваться",Я узнаю новости о изменениях в компании вовремя,"Я знаю, какие роли у ребят в других командах и какими навыками они обладают","Если я захочу найти в компании эксперта в какой-то области, то легко это сделаю, даже не зная его имени",Я общаюсь с коллегами за пределами своей команды и/или рабочей группы,У меня на работе есть друг,В большинстве случаев мои коллеги качественно выполняют свою работу,Коллеги всегда оперативно реагируют на мои сообщения и не пропускают их,Я никогда не пропускаю сообщения от коллег или руководителя,"Я всегда знаю, в какой чат мне написать с вопросом или предложением",Меня никогда не забывали добавить в нужный рабочий чат,Я готов рекомендовать нашу компанию своим друзьям и знакомым,Какие изменения за последний год тебя порадовали?,Что тебе нравится в компании меньше всего?,"Есть ли в компании что-то, что тормозит твою работу?",Оставь любой комментарий и мы его прочитаем :)
2022-12-02 13:11:42,Респондент 118,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,"За последние 2 года... Я перешел из одного отдела в другой, карьерно пошел вверх, и начал усиленно развиваться.","Новый офис, если честно. Серый и бездушный. ",Нет.,
2022-11-30 16:55:31,Респондент 11,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Нет,Да,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,,"Предлагаю добавлять фото именинников в чаты ДР. Иногда просто имени не достаточно, чтоб вспомнить человека, особенно, если недавно начал работать в компании.","Скорость закупки нужных программ/плагинов и пр.: когда начинаю проект и понимаю, что для него нужен определенный софт, приходится ждать достаточно долго, чтоб тебе его приобрели, и это может сильно сказаться на выполнении задачи",
2022-11-30 16:46:10,Респондент 48,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Нет,Нет,Да,Да,Нет,Да,Да,Да,,,,
2022-12-02 15:03:55,Респондент 108,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Много всякого,Сложно сказать,"Зависимость от работы аниматоров, звуковиков и сервера",
2022-11-30 23:01:09,Респондент 94,Да,Да,Да,Нет,Нет,Нет,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,Нет,Да,,,,
2022-11-30 17:08:34,Респондент 66,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,Трудоустройство в Каму,"Отсутствие возможности работы удаленно, НО мне нравится работать и в офисе",нет,
2022-11-30 17:56:53,Респондент 80,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Нет,Да,Да,Да,Да,"ДМС, тренинги, Ясно, английский. ","Начинается бюрократия, которая больше путает, чем помогает","Вышестоящие коллеги, чей аппрув нужен, но до них невозможно достучаться. ","Было бы круто, если бы Соня здоровалась при встрече в ответ "
2022-11-30 17:11:58,Респондент 31,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,,,,
2022-12-05 12:58:09,Респондент 165,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,,,,
2022-12-02 12:50:58,Респондент 114,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Нет,Да,Да,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,"1. Повышение зарплаты
2. Переход в другую группу разработки",,,
2022-11-30 16:46:15,Респондент 50,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,,,,
2022-12-02 15:19:21,Респондент 71,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Да,Переезд,Отсутствие удаленной работы,нет,"Хотелось бы, чтобы в столовой(кухне) звучала музыка, как в прошлом офисе :)"
2022-12-02 16:04:59,Респондент 139,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Да,"Я благодарна Каме за все, что происходит в рабочих и внутренних, внерабочих, процессах каждый день. Год пролетел быстро, но и научил многому. Ощущаю собственный рост (чем не изменения). Скромно полагаю, что в дальнейшем это станет очевидным и весомым и для моей команды, моих руководителей. Если говорить о внешнем, то изменились процесс найма, климат внутри отделов, прозрачность  процессов для сотрудников. Я слышу положительные  отзывы порой от коллег, от лидов - и это греет душу. Да, не без нюансов и сопротивления части команды, но это нормально в большой компании и здоровом организме.","Запрет на найм девушек. Но, я примиряюсь с этим, полагая, что время все расставит по местам.",Это ресурс: психический и временной. Рабочий день пролетает очень быстро. По процессам - мы на пути к изменениям и это нюансы.,"Ребят, мы - классные! Обнимаю!"
2022-11-30 16:45:41,Респондент 41,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,,,,
2022-12-07 08:52:49,Респондент 10,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,"Сравнение текущих моментов и моментов рабочих в прошлом году, это совсем обновленная версия, Дни рождения, прибавка к зп, новые версии игры, новые флоу, это всё очень круто","О таком не задумывался, всегда вижу только плюсы",Нет,У нас очень крутая компания и я рад работать с вами <3
2022-11-30 17:38:22,Респондент 7,Да,Да,Нет,Нет,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Никаких,"- Команда ДГВГ живет в своем мире и по своим законам, очень сложно выстроить коммуникацию и выполнить задачи максимально подходящими инструментами в кратчайшие сроки
- Отношение компании к удаленке
- Переезд
",,
2022-12-01 11:46:54,Респондент 96,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,,,"Ужасные лифты, останавливающиеся на каждом этаже или уезжающие куда не надо, хотя кнопка ""5"" или ""1"" была нажата",
2022-12-05 13:14:47,Респондент 155,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Нет,Да,Нет,Да,Да,Да,Да,Да,Да,"1. Расширение штата
2. Индексация
3. Расширение офиса
4. Добавление сервиса Ясно с практически полной компенсацией в оплате",Не могу пока ответить,"1. Несогласованность между высшим руководством и ПМ
2. Старая проблема с неактуализацией задач
3. Беготня за новыми фичами и игнорирование текущих проблем проекта и флоу в команде","1. Компания не дает возможность гибридной работы
2. Отсутствие годовых премий
"
2022-11-30 17:35:00,Респондент 54,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,"Этот год был беден на радости, не время улыбаться.",- Отсутствие курилки,"отсутствие курилки. многие вопросы раньше решались во время перекура за пять минут, а теперь приходится тратить много времени на то чтобы выйти и зайти, за это время успеваешь выпасть из потока мыслей.",
2022-12-02 19:34:34,Респондент 151,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,,,Неспешное решение вопросов некоторыми коллегами,
2022-12-02 15:46:11,Респондент 136,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Новая зарплата. Новый офис. Новые люди.,то что нет турника(повисеть) и отсутствие курилки.,когда много лишних правок,Всё отлично в целом)
2022-11-30 19:19:06,Респондент 88,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Новый офис!,Все ок,Нет,
2022-11-30 17:10:45,Респондент 69,Да,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да,Да,Нет,"Просторный офис, просторное рабочее место",Продукт,Нет,
2022-11-30 18:14:17,Респондент 84,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,,,,
2022-12-02 20:36:48,Респондент 153,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Жить стало веселее.,"Вечная перестройка. Она с 90х не закончилась.
Здесь ремонт, там шпатель передай - ужас!",Unity.,"Отличный опрос, почаще бы так проводить время! ))0)00))))"
2022-11-30 17:20:55,Респондент 68,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,,Все стучат на всех,Отсутствие ответственности отдельных коллег,Спасибо вам за работу!
2022-12-01 12:31:55,Респондент 99,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,-,отсутствие гибридного графика работы ,-,
2022-11-30 16:53:45,Респондент 5,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,"Команда расширилась хорошими ребятами.
Камаконф хорошо прошел.
Мы стали более структурированными","Отсутствие ковра на стене в отделе аналитики.
Отсутствие мыла на большой кухне.
Кофепойнт около аналитики воняет.
Кофе то классный, то пережаренный.","Опросы, которые не отправляются с первого раза",И все-таки в Замоскворечье было удобнее
2022-11-30 16:44:57,Респондент 46,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Нет,Нет,Да,Да,Да,Да,,,,
2022-12-02 13:12:46,Респондент 130,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Нет,Нет,Нет,Да,Нет,Да,Да,Да,Нет,Да,Да,Переезд,Некоторые сотрудники не готовы к изменениям.,Нет,Спасибо за опрос.
2022-11-30 17:26:25,Респондент 29,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Нет,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,,"Негативное отношение к удаленке. 
Ранее я почти 4 года проработал на Каму в качестве аутсорсера и было все хорошо, нареканий моя работа не вызывала. При переводе на новую должность основным условием был переезд в Москву и работа из офиса, где на самом деле очень классно работать из-за коллектива, но так как жизнь в мск дорогая (в плане жилья) это вызывает некоторые трудности. То есть при переводе зп не выросла чтобы сильно, относительно в разы увеличившихся расходов на жилье. ",Ответ в предыдущем вопросе. ,
2022-12-02 15:11:50,Респондент 44,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,,Офис,Нет,"""Вопрос №20: Я никогда не пропускаю сообщения от коллег или руководителя"" - я думаю правильней было бы написать ""Почти никогда"", иначе в чём смысл вопроса

В некоторых вопросах сильно не хватает варианта ответа - ""Затрудняюсь ответить"""
2022-12-01 13:58:51,Респондент 103,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Спасибо большое Соне за ДМС и Ясно. Так я себя чувствую в большей безопасности. Также мне нравится что в нашем отделе стали более прозрачные процессы и ожидания от моей роли. Процессы в компании по ощущениям стали также более прозрачные,"Мне не нравится то что все еще много ""внезапных"" смен вектора, сложно чувствовать свою работу значимо в таких реалиях. Также мне не нравится непрозрачное отношение к удаленной работе -- я не понимаю и сама можно это или нельзя, а также не понимаю что отвечать сотрудникам. ","Нет, все хорошо. Я чувствую поддержку и со стороны коллег из команды, и со стороны руководства","Я считаю Кама за этот год сделала огромный шаг вперед. Мне очень нравятся эти изменения, в такой компании даже то что долго работаешь не кажется рутиной/застоем. Несмотря на то что я писала что нередко бывает смена вектора, в то же время это позволяет чувствовать что ты работаешь в ""живой"" компании, не уставать от работы, это драйвит. 
Мне не нравится новый офис -- но я понимаю что он необходим для расширения, однако надеюсь что он ненадолго) Странно что тут убираются уже во время того как мы работаем, а также что ездит робот- пылесос, также тут шумные туалеты и переговорки, в которых постоянно отвлекаешься на проходящих людей. 
Я люблю свою команду и работу -- это то что поддерживает меня. И не в последнюю очередь благодаря моему руководителю, а также Жене К и Соне. Вы все замечательные. И новый отдел HR тоже. "
2022-12-02 15:44:18,Респондент 141,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Нет,Нет,Нет,Да,Да,Нет,Нет,Нет,Да,,,,
2022-11-30 16:53:19,Респондент 33,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Нет,Нет,Да,Да,Да,Да,Нет,Нет,Да,переезд в новый офис, ,нет,
2022-12-02 14:09:06,Респондент 133,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Да,Да,Нет,Нет,сложно сказать,отношение к удаленным сотрудникам ,,
2022-12-02 13:30:52,Респондент 132,Да,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да,Нет,Да,Да,Нет,Нет,Да,Да,"ДМС, новый офис, изменения в предоставлении DayOff и Home Office. Новые коллеги в отделе. Инициативный отдел HR.
",Возможность удаленной работы с компанией только через SolorStaff. В кофепойнтах нет микроволновки. ,Порой жду долго фитбэк. И удаленность курилки),
2022-12-02 13:11:29,Респондент 129,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,"Только недавно вышел на работу, поэтому не могу сделать какой-то сравнительный анализ","Пока нет таких моментов, все супер",Нет,"Спасибо за вашу работу, опрос отличный, вопросы в точку.
Проецируя на другие места работы, понимаю что таких опросов там очень не хватало"
2022-12-02 19:37:49,Респондент 149,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Я тут только месяц,Нет хлеба на кухне,,
